#Acc_x;Acc_z;Elongation Droit;Elongation gauche;Gyro_x;Gyro_z;PressionPiedDArriereD;PressionPiedDArriereG;PressionPiedDAvantD;PressionPiedDAvantG;PressionPiedGArriereD;PressionPiedGArriereG;PressionPiedGAvantD;PressionPiedGAvantG
1495;1516;553;800;1791;1806;3036;1744;70;2149;3041;2386;1040;2835
1494;1517;553;801;1791;1806;3036;1724;72;2144;3042;2381;1041;2838
1494;1517;553;801;1789;1802;3036;1539;71;2145;3042;2380;1041;2835
1493;1517;553;802;1793;1806;3035;1517;68;2145;3041;2382;1040;2839
1494;1516;553;802;1789;1803;3035;1544;73;2138;3042;2383;1041;2843
1495;1518;553;802;1791;1805;3036;1558;71;2136;3042;2376;1041;2842
1496;1517;553;801;1792;1808;3036;1546;74;2121;3042;2375;1041;2841
1492;1517;553;802;1791;1803;3035;1557;71;2122;3042;2373;1041;2841
1495;1518;553;802;1793;1803;3034;1566;70;2125;3041;2377;1041;2841
1489;1514;553;801;1795;1806;3035;1563;70;2136;3041;2374;1041;2841
1491;1518;553;801;1788;1806;3034;1574;70;2137;3041;2379;1041;2839
1492;1519;553;801;1791;1803;3034;1551;71;2146;3043;2388;1041;2836
1494;1517;553;801;1789;1804;3035;1576;72;2134;3042;2379;1041;2835
1494;1518;553;801;1791;1801;3035;1690;73;2144;3041;2399;1042;2841
1488;1516;553;801;1789;1803;3035;1746;71;2144;3042;2391;1042;2840
1493;1518;552;801;1787;1804;3033;1713;72;2141;3041;2401;1041;2838
1494;1515;552;802;1790;1805;3034;1822;70;2146;3042;2396;1041;2837
1494;1517;552;801;1788;1806;3035;1664;72;2143;3042;2406;1041;2837
1493;1516;553;801;1790;1804;3036;1578;72;2155;3043;2397;1041;2839
1494;1516;553;801;1791;1806;3035;1550;72;2144;3043;2398;1041;2837
1491;1519;552;800;1790;1803;3035;1571;72;2139;3043;2393;1041;2835
1492;1517;553;800;1792;1803;3035;1588;70;2131;3043;2396;1041;2839
1494;1517;553;801;1787;1805;3035;1592;74;2132;3042;2395;1041;2843
1494;1516;553;799;1787;1805;3036;1584;71;2134;3044;2392;1042;2842
1493;1519;553;800;1791;1801;3034;1589;70;2130;3043;2395;1041;2847
1493;1519;553;800;1791;1801;3034;1589;70;2130;3043;2395;1041;2847
1496;1516;553;797;1789;1803;3035;1622;73;2131;3044;2399;1041;2846
1496;1516;553;797;1789;1803;3035;1622;73;2131;3044;2399;1041;2846
1495;1517;554;800;1789;1803;3035;1624;70;2135;3044;2401;1042;2844
1494;1514;553;799;1787;1805;3036;1724;74;2131;3042;2403;1042;2845
1494;1514;553;799;1787;1805;3036;1724;74;2131;3042;2403;1042;2845
1496;1518;553;801;1789;1805;3037;1746;75;2136;3043;2404;1042;2838
1490;1522;553;800;1788;1803;3036;1737;69;2136;3044;2408;1041;2842
1494;1517;554;801;1790;1802;3037;1751;72;2135;3043;2405;1042;2843
1498;1515;553;800;1790;1808;3030;1749;70;2136;3040;2406;1041;2841
1498;1515;553;800;1790;1808;3030;1749;70;2136;3040;2406;1041;2841
1494;1516;553;799;1791;1810;3032;1638;74;2135;3040;2404;1041;2841
1490;1520;552;799;1790;1808;3032;1587;72;2133;3039;2401;1041;2841
1491;1517;551;799;1792;1809;3032;1582;72;2123;3039;2397;1040;2841
1491;1517;551;799;1792;1809;3032;1582;72;2123;3039;2397;1040;2841
1493;1514;553;800;1793;1808;3033;1588;71;2141;3042;2394;1041;2838
1493;1514;552;800;1793;1809;3032;1593;72;2146;3043;2404;1040;2840
1494;1516;553;800;1792;1808;3032;1609;71;2147;3043;2402;1041;2842
1492;1518;553;800;1792;1807;3034;1755;70;2145;3042;2405;1041;2845
1492;1518;552;800;1792;1807;3035;1750;73;2146;3042;2402;1041;2841
1494;1516;551;800;1792;1805;3036;1776;69;2144;3040;2407;1041;2843
1493;1513;553;800;1790;1803;3037;1776;72;2149;3042;2398;1041;2838
1495;1514;553;800;1789;1804;3037;1804;71;2153;3043;2403;1041;2842
1495;1514;553;800;1789;1804;3037;1804;71;2153;3043;2403;1041;2842
1491;1515;551;801;1790;1805;3036;1784;71;2164;3042;2400;1041;2839
1493;1517;552;800;1794;1806;3036;1792;73;2161;3042;2401;1041;2840
1490;1514;553;800;1792;1803;3035;1774;71;2156;3042;2400;1042;2837
1491;1515;553;801;1794;1808;3035;1769;72;2142;3041;2400;1041;2840
1495;1519;553;800;1791;1806;3035;1766;71;2152;3041;2400;1041;2841
1494;1516;554;801;1789;1804;3036;1762;71;2149;3042;2399;1041;2844
1489;1519;554;801;1791;1804;3035;1749;71;2156;3041;2397;1041;2838
1496;1517;553;802;1791;1802;3036;1767;70;2153;3043;2398;1041;2842
1491;1514;553;802;1792;1803;3036;1765;73;2147;3042;2396;1041;2841
1496;1520;553;800;1791;1804;3036;1767;71;2147;3042;2397;1041;2842
1491;1515;552;801;1791;1802;3035;1743;72;2147;3043;2395;1041;2845
1497;1512;553;801;1791;1802;3035;1770;70;2144;3043;2395;1041;2839
1497;1512;553;801;1791;1802;3035;1770;70;2144;3043;2395;1041;2839
1491;1516;553;802;1790;1804;3035;1690;70;2148;3041;2395;1042;2840
1494;1519;553;800;1789;1803;3035;1673;72;2148;3042;2394;1041;2840
1491;1516;553;802;1792;1802;3036;1686;71;2155;3043;2399;1041;2838
